ATM_ID,SHORTNAM,CARDHOLD,FRAUD_TY,FRAUD,ISSUER_I,MAKE,MODEL,FACILITI,ATM_POSI,INSTITUT,POST_COD_Town,POST_COD_Region,Day of Week,Time of Day,Time of Day Band
"ATM_S0","NWST","Card_S1","NOT FRAUDULENT",0,"716","TRITON",9670.000000,"ND S/C 100P","Petrol Station","SECU","Belfast","Northern Ireland","5. Thursday","21","4. Evening (6pm to 10pm)"
"ATM_S2","BOI","Card_S3","NOT FRAUDULENT",0,"152","NCR",5884.000000,"ND S/C 100P","Convenience Store","SECU","Belfast","Northern Ireland","6. Friday","21","4. Evening (6pm to 10pm)"
"ATM_S4","LLDS","Card_S5","NOT FRAUDULENT",0,"158","NCR",5085.000000,"ND S/C 100P","Supermarket","SECU","Edinburgh","Scotland","2. Monday","14","3. Afternoon (1pm to 5pm)"
"ATM_S8","BARC","Card_S9","NOT FRAUDULENT",0,"354","TRITON",9670.000000,"","Convenience Store","SECU","Lincoln","East Midlands","7. Saturday","8","2. Morning (4am to midday)"
"ATM_S10","LLDS","Card_S11","NOT FRAUDULENT",0,"958","TRITON",9640.000000,"ND S/C 125P","Convenience Store","SECU","Newcastle Upon Tyne","North","5. Thursday","7","2. Morning (4am to midday)"
"ATM_S12","HAFX","Card_S13","NOT FRAUDULENT",0,"514","NCR",5085.000000,"FF","Wall","LLDS","Manchester","North West","6. Friday","9","2. Morning (4am to midday)"
"ATM_S14","NWST","Card_S15","NOT FRAUDULENT",0,"816","NCR",5085.000000,"FF","Supermarket","LLDS","Manchester","North West","7. Saturday","12","2. Morning (4am to midday)"
"ATM_S16","HAFX","Card_S17","AT LEAST 2 TRANSACTIONS EITHER SIDE OF MIDNIGHT",1,"414","NCR",5085.000000,"FF","Wall","LLDS","Bolton","North West","5. Thursday","23","1. Late at Night (11pm - 3am)"
"ATM_S16","RBS","Card_S18","NOT FRAUDULENT",0,"748","NCR",5085.000000,"FF","Wall","LLDS","Bolton","North West","4. Wednesday","15","3. Afternoon (1pm to 5pm)"
"ATM_S19","HSBC","Card_S20","HIGH CONSECUTIVE BALANCES",1,"856","NCR",5085.000000,"FF","Wall","LLDS","Bolton","North West","6. Friday","14","3. Afternoon (1pm to 5pm)"
"ATM_S19","RBS","Card_S21","HIGH CONSECUTIVE BALANCES",1,"848","NCR",5085.000000,"FF","Wall","LLDS","Bolton","North West","6. Friday","14","3. Afternoon (1pm to 5pm)"
"ATM_S19","HAFX","Card_S22","HIGH CONSECUTIVE BALANCES",1,"614","NCR",5085.000000,"FF","Wall","LLDS","Bolton","North West","6. Friday","14","3. Afternoon (1pm to 5pm)"
"ATM_S19","COOP","Card_S23","AT LEAST 2 TRANSACTIONS EITHER SIDE OF MIDNIGHT",1,"102","NCR",5085.000000,"FF","Wall","LLDS","Bolton","North West","6. Friday","0","1. Late at Night (11pm - 3am)"
"ATM_S24","RBS","Card_S25","INCORRECT PIN",1,"148","NCR",5685.000000,"FF","Wall","LLDS","Bolton","North West","7. Saturday","11","2. Morning (4am to midday)"
"ATM_S26","HSBC","Card_S27","NOT FRAUDULENT",0,"D56","NCR",5685.000000,"FF","Wall","LLDS","Manchester","North West","7. Saturday","12","2. Morning (4am to midday)"
"ATM_S28","BARC","Card_S29","AT LEAST 2 TRANSACTIONS EITHER SIDE OF MIDNIGHT",1,"354","NCR",5085.000000,"FF","Wall","LLDS","Bolton","North West","2. Monday","0","1. Late at Night (11pm - 3am)"
"ATM_S28","HSBC","Card_S30","NOT FRAUDULENT",0,"G56","NCR",5085.000000,"FF","Wall","LLDS","Bolton","North West","5. Thursday","8","2. Morning (4am to midday)"
"ATM_S31","YBK","Card_S32","NOT FRAUDULENT",0,"530","NCR",5885.000000,"FF","Wall","LLDS","Bolton","North West","2. Monday","11","2. Morning (4am to midday)"
"ATM_S31","YBS","Card_S33","NOT FRAUDULENT",0,"136","NCR",5885.000000,"FF","Wall","LLDS","Bolton","North West","3. Tuesday","11","2. Morning (4am to midday)"
"ATM_S34","YBK","Card_S35","AT LEAST 2 TRANSACTIONS EITHER SIDE OF MIDNIGHT",1,"530","NCR",5085.000000,"FF","Wall","LLDS","Oldham","North West","6. Friday","0","1. Late at Night (11pm - 3am)"
"ATM_S34","YBK","Card_S36","AT LEAST 2 TRANSACTIONS EITHER SIDE OF MIDNIGHT",1,"630","NCR",5085.000000,"FF","Wall","LLDS","Oldham","North West","5. Thursday","0","1. Late at Night (11pm - 3am)"
"ATM_S34","YBK","Card_S37","AT LEAST 2 TRANSACTIONS EITHER SIDE OF MIDNIGHT",1,"530","NCR",5085.000000,"FF","Wall","LLDS","Oldham","North West","5. Thursday","0","1. Late at Night (11pm - 3am)"
"ATM_S38","HAFX","Card_S39","INCORRECT PIN",1,"914","NCR",5085.000000,"FF","Wall","LLDS","Manchester","North West","6. Friday","17","3. Afternoon (1pm to 5pm)"
"ATM_S40","YBK","Card_S41","AT LEAST 2 TRANSACTIONS EITHER SIDE OF MIDNIGHT",1,"530","NCR",5085.000000,"FF","Wall","LLDS","Bolton","North West","4. Wednesday","0","1. Late at Night (11pm - 3am)"
"ATM_S42","RBS","Card_S43","AT LEAST 2 TRANSACTIONS EITHER SIDE OF MIDNIGHT",1,"948","NCR",5885.000000,"FF","Wall","LLDS","Cambridge","East Anglia","1. Sunday","0","1. Late at Night (11pm - 3am)"
"ATM_S42","BARC","Card_S44","NOT FRAUDULENT",0,"554","NCR",5885.000000,"FF","Wall","LLDS","Cambridge","East Anglia","1. Sunday","22","4. Evening (6pm to 10pm)"
"ATM_S45","HSBC","Card_S46","NOT FRAUDULENT",0,"656","NCR",5085.000000,"FF","Supermarket","LLDS","Stevenage","South East","4. Wednesday","11","2. Morning (4am to midday)"
"ATM_S47","BARC","Card_S48","NOT FRAUDULENT",0,"554","NCR",5685.000000,"FF","Wall","LLDS","Cambridge","East Anglia","2. Monday","12","2. Morning (4am to midday)"
"ATM_S49","ANPC","Card_S50","NOT FRAUDULENT",0,"706","NCR",5685.000000,"FF","Wall","LLDS","St. Albans","South East","7. Saturday","20","4. Evening (6pm to 10pm)"
"ATM_S51","ANPC","Card_S52","NOT FRAUDULENT",0,"206","NCR",5685.000000,"FF","Petrol Station","LLDS","St. Albans","South East","6. Friday","9","2. Morning (4am to midday)"
"ATM_S51","BARC","Card_S53","NOT FRAUDULENT",0,"854","NCR",5685.000000,"FF","Petrol Station","LLDS","St. Albans","South East","6. Friday","11","2. Morning (4am to midday)"
"ATM_S54","HSBC","Card_S55","NOT FRAUDULENT",0,"556","NCR",5685.000000,"FF","Wall","LLDS","Cambridge","East Anglia","4. Wednesday","11","2. Morning (4am to midday)"
"ATM_S56","RBS","Card_S57","NOT FRAUDULENT",0,"948","NCR",5685.000000,"FF","Wall","LLDS","Cambridge","East Anglia","7. Saturday","10","2. Morning (4am to midday)"
"ATM_S58","HSBC","Card_S59","NOT FRAUDULENT",0,"D56","NCR",5085.000000,"FF","Wall","LLDS","Cambridge","East Anglia","2. Monday","11","2. Morning (4am to midday)"
"ATM_S60","YBK","Card_S61","AT LEAST 2 TRANSACTIONS EITHER SIDE OF MIDNIGHT",1,"530","NCR",5085.000000,"FF","Wall","LLDS","Preston","North West","4. Wednesday","0","1. Late at Night (11pm - 3am)"
"ATM_S62","COOP","Card_S63","NOT FRAUDULENT",0,"102","NCR",5085.000000,"FF","Wall","LLDS","Preston","North West","5. Thursday","20","4. Evening (6pm to 10pm)"
"ATM_S64","HSBC","Card_S65","AT LEAST 2 TRANSACTIONS EITHER SIDE OF MIDNIGHT",1,"K56","NCR",5085.000000,"FF","Wall","LLDS","Coventry","West Midlands","6. Friday","0","1. Late at Night (11pm - 3am)"
